Load ID,Assigned Tank,Entry Time (s),Lower End (s),Lift Start (s),Exit Time (s),Target Dip (s),Actual Dip (s),Min Dip (s),Max Dip (s),Status
1,LOADING/UNLOAD,2848.7,2860.7,4023.7,4023.7,240.0,1163.0,240.0,5000.0,PASS
1,SOAK,4041.7,4053.7,4812.0,4812.0,300.0,758.3,300.0,1000.0,PASS
1,DERUSTING,4837.2,4849.2,5149.2,5149.2,300.0,300.0,300.0,310.0,PASS
1,CASCADE RINSE3,5167.2,5179.2,5209.2,5209.2,30.0,30.0,30.0,35.0,PASS
1,CASCADE RINSE4,5227.2,5239.2,5269.2,5269.2,30.0,30.0,30.0,35.0,PASS
2,LOADING/UNLOAD,4141.0,4153.0,5330.0,5330.0,240.0,1177.0,240.0,5000.0,PASS
1,ZINC PHOSPHATING,5295.2,5307.2,6057.2,6057.2,750.0,750.0,750.0,900.0,PASS
2,SOAK,5348.0,5360.0,6111.3,6111.3,300.0,751.3,300.0,1000.0,PASS
2,DERUSTING,6136.5,6148.5,6448.5,6448.5,300.0,300.0,300.0,310.0,PASS
2,CASCADE RINSE3,6466.5,6478.5,6508.5,6508.5,30.0,30.0,30.0,35.0,PASS
2,CASCADE RINSE4,6526.5,6538.5,6568.5,6568.5,30.0,30.0,30.0,35.0,PASS
3,LOADING/UNLOAD,5447.3,5459.3,6622.2,6622.2,240.0,1163.0,240.0,5000.0,PASS
1,CASCADE RINSE5,6076.0,6088.0,6675.5,6675.5,30.0,587.5,30.0,300.0,FAIL
1,LOADING/UNLOAD,6727.5,6739.5,6979.5,6979.5,240.0,240.0,240.0,5000.0,PASS
2,ZINC PHOSPHATING,6590.1,6602.1,7352.1,7352.1,750.0,750.0,750.0,900.0,PASS
3,SOAK,6640.2,6652.2,7410.6,7410.6,300.0,758.3,300.0,1000.0,PASS
3,DERUSTING,7435.8,7447.8,7747.8,7747.8,300.0,300.0,300.0,310.0,PASS
3,CASCADE RINSE3,7765.8,7777.8,7807.8,7807.8,30.0,30.0,30.0,35.0,PASS
3,CASCADE RINSE4,7825.8,7837.8,7867.8,7867.8,30.0,30.0,30.0,35.0,PASS
4,LOADING/UNLOAD,6739.5,6751.5,7928.6,7928.6,240.0,1177.0,240.0,5000.0,PASS
2,CASCADE RINSE5,7375.3,7387.3,7981.8,7981.8,30.0,594.6,30.0,300.0,FAIL
2,LOADING/UNLOAD,8033.8,8045.8,8285.8,8285.8,240.0,240.0,240.0,5000.0,PASS
3,ZINC PHOSPHATING,7893.8,7905.8,8655.8,8655.8,750.0,750.0,750.0,900.0,PASS
4,SOAK,7946.6,7958.6,8709.8,8709.8,300.0,751.3,300.0,1000.0,PASS
4,DERUSTING,8735.0,8747.0,9047.0,9047.0,300.0,300.0,300.0,310.0,PASS
4,CASCADE RINSE3,9065.0,9077.0,9107.0,9107.0,30.0,30.0,30.0,35.0,PASS
4,CASCADE RINSE4,9125.0,9137.0,9167.0,9167.0,30.0,30.0,30.0,35.0,PASS
5,LOADING/UNLOAD,8045.8,8057.8,9220.8,9220.8,240.0,1163.0,240.0,5000.0,PASS
3,CASCADE RINSE5,8674.6,8686.6,9274.1,9274.1,30.0,587.5,30.0,300.0,FAIL
3,LOADING/UNLOAD,9326.1,9338.1,9578.1,9578.1,240.0,240.0,240.0,5000.0,PASS
4,ZINC PHOSPHATING,9188.6,9200.6,9950.6,9950.6,750.0,750.0,750.0,900.0,PASS
5,SOAK,9238.8,9250.8,10009.1,10009.1,300.0,758.3,300.0,1000.0,PASS
5,DERUSTING,10034.3,10046.3,10346.3,10346.3,300.0,300.0,300.0,310.0,PASS
5,CASCADE RINSE3,10364.3,10376.3,10406.3,10406.3,30.0,30.0,30.0,35.0,PASS
5,CASCADE RINSE4,10424.3,10436.3,10466.3,10466.3,30.0,30.0,30.0,35.0,PASS
6,LOADING/UNLOAD,9338.1,9350.1,10527.1,10527.1,240.0,1177.0,240.0,5000.0,PASS
4,CASCADE RINSE5,9973.8,9985.8,10580.4,10580.4,30.0,594.6,30.0,300.0,FAIL
4,LOADING/UNLOAD,10632.4,10644.4,10884.4,10884.4,240.0,240.0,240.0,5000.0,PASS
5,ZINC PHOSPHATING,10492.3,10504.3,11254.3,11254.3,750.0,750.0,750.0,900.0,PASS
6,SOAK,10545.1,10557.1,11308.4,11308.4,300.0,751.3,300.0,1000.0,PASS
6,DERUSTING,11333.6,11345.6,11645.6,11645.6,300.0,300.0,300.0,310.0,PASS
6,CASCADE RINSE3,11663.6,11675.6,11705.6,11705.6,30.0,30.0,30.0,35.0,PASS
6,CASCADE RINSE4,11723.6,11735.6,11765.6,11765.6,30.0,30.0,30.0,35.0,PASS
7,LOADING/UNLOAD,10644.4,10656.4,11819.4,11819.4,240.0,1163.0,240.0,5000.0,PASS
5,CASCADE RINSE5,11273.1,11285.1,11872.6,11872.6,30.0,587.5,30.0,300.0,FAIL
5,LOADING/UNLOAD,11924.6,11936.6,12176.6,12176.6,240.0,240.0,240.0,5000.0,PASS
6,ZINC PHOSPHATING,11787.2,11799.2,12549.2,12549.2,750.0,750.0,750.0,900.0,PASS
7,SOAK,11837.4,11849.4,12607.7,12607.7,300.0,758.3,300.0,1000.0,PASS
7,DERUSTING,12632.9,12644.9,12944.9,12944.9,300.0,300.0,300.0,310.0,PASS
7,CASCADE RINSE3,12962.9,12974.9,13004.9,13004.9,30.0,30.0,30.0,35.0,PASS
7,CASCADE RINSE4,13022.9,13034.9,13064.9,13064.9,30.0,30.0,30.0,35.0,PASS
8,LOADING/UNLOAD,11936.6,11948.6,13125.7,13125.7,240.0,1177.0,240.0,5000.0,PASS
6,CASCADE RINSE5,12572.4,12584.4,13179.0,13179.0,30.0,594.6,30.0,300.0,FAIL
6,LOADING/UNLOAD,13231.0,13243.0,13483.0,13483.0,240.0,240.0,240.0,5000.0,PASS
7,ZINC PHOSPHATING,13090.9,13102.9,13852.9,13852.9,750.0,750.0,750.0,900.0,PASS
8,SOAK,13143.7,13155.7,13907.0,13907.0,300.0,751.3,300.0,1000.0,PASS
8,DERUSTING,13932.2,13944.2,14244.2,14244.2,300.0,300.0,300.0,310.0,PASS
8,CASCADE RINSE3,14262.2,14274.2,14304.2,14304.2,30.0,30.0,30.0,35.0,PASS
8,CASCADE RINSE4,14322.2,14334.2,14364.2,14364.2,30.0,30.0,30.0,35.0,PASS
9,LOADING/UNLOAD,13243.0,13255.0,14417.9,14417.9,240.0,1163.0,240.0,5000.0,PASS
7,CASCADE RINSE5,13871.7,13883.7,14471.2,14471.2,30.0,587.5,30.0,300.0,FAIL
7,LOADING/UNLOAD,14523.2,14535.2,14775.2,14775.2,240.0,240.0,240.0,5000.0,PASS
8,ZINC PHOSPHATING,14385.8,14397.8,15147.8,15147.8,750.0,750.0,750.0,900.0,PASS
9,SOAK,14435.9,14447.9,15206.2,15206.2,300.0,758.3,300.0,1000.0,PASS
9,DERUSTING,15231.4,15243.4,15543.4,15543.4,300.0,300.0,300.0,310.0,PASS
9,CASCADE RINSE3,15561.4,15573.4,15603.4,15603.4,30.0,30.0,30.0,35.0,PASS
9,CASCADE RINSE4,15621.4,15633.4,15663.4,15663.4,30.0,30.0,30.0,35.0,PASS
10,LOADING/UNLOAD,14535.2,14547.2,15724.2,15724.2,240.0,1177.0,240.0,5000.0,PASS
8,CASCADE RINSE5,15171.0,15183.0,15777.5,15777.5,30.0,594.6,30.0,300.0,FAIL
8,LOADING/UNLOAD,15829.5,15841.5,16081.5,16081.5,240.0,240.0,240.0,5000.0,PASS
9,ZINC PHOSPHATING,15689.4,15701.4,16451.4,16451.4,750.0,750.0,750.0,900.0,PASS
10,SOAK,15742.2,15754.2,16505.5,16505.5,300.0,751.3,300.0,1000.0,PASS
10,DERUSTING,16530.7,16542.7,16842.7,16842.7,300.0,300.0,300.0,310.0,PASS
10,CASCADE RINSE3,16860.7,16872.7,16902.7,16902.7,30.0,30.0,30.0,35.0,PASS
10,CASCADE RINSE4,16920.7,16932.7,16962.7,16962.7,30.0,30.0,30.0,35.0,PASS
9,CASCADE RINSE5,16470.2,16482.2,17069.8,17069.8,30.0,587.5,30.0,300.0,FAIL
9,LOADING/UNLOAD,17121.8,17133.8,17373.8,17373.8,240.0,240.0,240.0,5000.0,PASS
10,ZINC PHOSPHATING,16984.3,16996.3,17746.3,17746.3,750.0,750.0,750.0,900.0,PASS
10,CASCADE RINSE5,17769.5,17781.5,18376.1,18376.1,30.0,594.6,30.0,300.0,FAIL
10,LOADING/UNLOAD,18428.1,18440.1,18680.1,18680.1,240.0,240.0,240.0,5000.0,PASS
