PROJECT ID,Program ID,Wagon Number,Instruction,Instruction Sr No,Instruction Value,LOAD_NO,FlightBar,ACCUMULATED TIME
Program 1,1,1,Wait for sec,1,240,901,FB1,240
Program 1,1,1,Get from,2,1,901,FB1,252
Program 1,1,1,Put on,3,2,901,FB1,270
Program 1,1,1,Wait for sec,4,300,901,FB1,570
Program 1,1,1,Get from,5,2,901,FB1,582
Program 1,1,1,Put on,6,5,901,FB1,607
Program 1,1,1,Wait for sec,7,300,901,FB1,907
Program 1,1,1,Get from,8,5,901,FB1,919
Program 1,1,1,Put on,9,6,901,FB1,937
Program 1,1,1,Wait for sec,10,30,901,FB1,967
Program 1,1,1,Get from,11,6,901,FB1,979
Program 1,1,1,Put on,12,7,901,FB1,997
Program 1,1,1,Wait for sec,13,30,901,FB1,1027
Program 1,1,1,Get from,14,7,901,FB1,1039
Program 1,1,1,Put on,15,9,901,FB1,1061
Program 1,1,1,Wait for sec,16,750,901,FB1,1811
Program 1,1,1,Get from,17,9,901,FB1,1823
Program 1,1,1,Put on,18,11,901,FB1,1846
Program 1,1,1,Get from,19,1,902,FB2,1883
Program 1,1,1,Put on,20,2,902,FB2,1901
Program 1,1,1,Wait for sec,21,300,902,FB2,2201
Program 1,1,1,Get from,22,2,902,FB2,2213
Program 1,1,1,Put on,23,5,902,FB2,2239
Program 1,1,1,Wait for sec,24,300,902,FB2,2539
Program 1,1,1,Get from,25,5,902,FB2,2551
Program 1,1,1,Put on,26,6,902,FB2,2569
Program 1,1,1,Wait for sec,27,30,902,FB2,2599
Program 1,1,1,Get from,28,6,902,FB2,2611
Program 1,1,1,Put on,29,7,902,FB2,2629
Program 1,1,1,Wait for sec,30,30,902,FB2,2659
Program 1,1,1,Get from,31,7,902,FB2,2671
Program 1,1,1,Put on,32,10,902,FB2,2697
Program 1,1,1,Get from,33,1,903,FB3,2731
Program 1,1,1,Put on,34,2,903,FB3,2749
Program 1,1,1,Get from,35,11,901,FB1,2785
Program 1,1,1,Put on,36,1,901,FB1,2837
Program 1,1,1,Wait for sec,37,587,902,FB2,3424
Program 1,1,1,Get from,38,10,902,FB2,3459
Program 1,1,1,Put on,39,11,902,FB2,3477
Program 1,1,1,Get from,40,2,903,FB3,3513
Program 1,1,1,Put on,41,5,903,FB3,3538
Program 1,1,1,Wait for sec,42,300,903,FB3,3838
Program 1,1,1,Get from,43,5,903,FB3,3850
Program 1,1,1,Put on,44,6,903,FB3,3868
Program 1,1,1,Wait for sec,45,30,903,FB3,3898
Program 1,1,1,Get from,46,6,903,FB3,3910
Program 1,1,1,Put on,47,7,903,FB3,3928
Program 1,1,1,Wait for sec,48,30,903,FB3,3958
Program 1,1,1,Get from,49,7,903,FB3,3970
Program 1,1,1,Put on,50,9,903,FB3,3992
Program 1,1,1,Get from,51,1,1,FB1,4024
Program 1,1,1,Put on,52,2,1,FB1,4042
Program 1,1,1,Get from,53,11,902,FB2,4077
Program 1,1,1,Put on,54,1,902,FB2,4129
Program 1,1,1,Wait for sec,55,592,903,FB3,4721
Program 1,1,1,Get from,56,9,903,FB3,4754
Program 1,1,1,Put on,57,11,903,FB3,4777
Program 1,1,1,Get from,58,2,1,FB1,4812
Program 1,1,1,Put on,59,5,1,FB1,4837
Program 1,1,1,Wait for sec,60,300,1,FB1,5137
Program 1,1,1,Get from,61,5,1,FB1,5149
Program 1,1,1,Put on,62,6,1,FB1,5167
Program 1,1,1,Wait for sec,63,30,1,FB1,5197
Program 1,1,1,Get from,64,6,1,FB1,5209
Program 1,1,1,Put on,65,7,1,FB1,5227
Program 1,1,1,Wait for sec,66,30,1,FB1,5257
Program 1,1,1,Get from,67,7,1,FB1,5269
Program 1,1,1,Put on,68,10,1,FB1,5295
Program 1,1,1,Get from,69,1,2,FB2,5330
Program 1,1,1,Put on,70,2,2,FB2,5348
Program 1,1,1,Get from,71,11,903,FB3,5383
Program 1,1,1,Put on,72,1,903,FB3,5435
Program 1,1,1,Wait for sec,73,587,1,FB1,6022
Program 1,1,1,Get from,74,10,1,FB1,6057
Program 1,1,1,Put on,75,11,1,FB1,6076
Program 1,1,1,Get from,76,2,2,FB2,6111
Program 1,1,1,Put on,77,5,2,FB2,6136
Program 1,1,1,Wait for sec,78,300,2,FB2,6436
Program 1,1,1,Get from,79,5,2,FB2,6448
Program 1,1,1,Put on,80,6,2,FB2,6466
Program 1,1,1,Wait for sec,81,30,2,FB2,6496
Program 1,1,1,Get from,82,6,2,FB2,6508
Program 1,1,1,Put on,83,7,2,FB2,6526
Program 1,1,1,Wait for sec,84,30,2,FB2,6556
Program 1,1,1,Get from,85,7,2,FB2,6568
Program 1,1,1,Put on,86,9,2,FB2,6590
Program 1,1,1,Get from,87,1,3,FB3,6622
Program 1,1,1,Put on,88,2,3,FB3,6640
Program 1,1,1,Get from,89,11,1,FB1,6676
Program 1,1,1,Put on,90,1,1,FB1,6728
Program 1,1,1,Wait for sec,91,592,2,FB2,7320
Program 1,1,1,Get from,92,9,2,FB2,7352
Program 1,1,1,Put on,93,11,2,FB2,7375
Program 1,1,1,Get from,94,2,3,FB3,7411
Program 1,1,1,Put on,95,5,3,FB3,7436
Program 1,1,1,Wait for sec,96,300,3,FB3,7736
Program 1,1,1,Get from,97,5,3,FB3,7748
Program 1,1,1,Put on,98,6,3,FB3,7766
Program 1,1,1,Wait for sec,99,30,3,FB3,7796
Program 1,1,1,Get from,100,6,3,FB3,7808
Program 1,1,1,Put on,101,7,3,FB3,7826
Program 1,1,1,Wait for sec,102,30,3,FB3,7856
Program 1,1,1,Get from,103,7,3,FB3,7868
Program 1,1,1,Put on,104,10,3,FB3,7894
Program 1,1,1,Get from,105,1,4,FB1,7929
Program 1,1,1,Put on,106,2,4,FB1,7947
Program 1,1,1,Get from,107,11,2,FB2,7982
Program 1,1,1,Put on,108,1,2,FB2,8034
Program 1,1,1,Wait for sec,109,587,3,FB3,8621
Program 1,1,1,Get from,110,10,3,FB3,8656
Program 1,1,1,Put on,111,11,3,FB3,8675
Program 1,1,1,Get from,112,2,4,FB1,8710
Program 1,1,1,Put on,113,5,4,FB1,8735
Program 1,1,1,Wait for sec,114,300,4,FB1,9035
Program 1,1,1,Get from,115,5,4,FB1,9047
Program 1,1,1,Put on,116,6,4,FB1,9065
Program 1,1,1,Wait for sec,117,30,4,FB1,9095
Program 1,1,1,Get from,118,6,4,FB1,9107
Program 1,1,1,Put on,119,7,4,FB1,9125
Program 1,1,1,Wait for sec,120,30,4,FB1,9155
Program 1,1,1,Get from,121,7,4,FB1,9167
Program 1,1,1,Put on,122,9,4,FB1,9189
Program 1,1,1,Get from,123,1,5,FB2,9221
Program 1,1,1,Put on,124,2,5,FB2,9239
Program 1,1,1,Get from,125,11,3,FB3,9274
Program 1,1,1,Put on,126,1,3,FB3,9326
Program 1,1,1,Wait for sec,127,592,4,FB1,9918
Program 1,1,1,Get from,128,9,4,FB1,9951
Program 1,1,1,Put on,129,11,4,FB1,9974
Program 1,1,1,Get from,130,2,5,FB2,10009
Program 1,1,1,Put on,131,5,5,FB2,10034
Program 1,1,1,Wait for sec,132,300,5,FB2,10334
Program 1,1,1,Get from,133,5,5,FB2,10346
Program 1,1,1,Put on,134,6,5,FB2,10364
